RATE,TIME
12.58,252802488.1492
12.39,252802588.1492
12.62,252802688.1492
12.81,252802788.1492
13.67,252802888.1492
13.06,252802988.1492
12.68,252803088.1492
13.5,252803188.1492
13.98,252803288.1492
13.37,252803388.1492
14.19,252803488.1492
14.03,252803588.1492
14.59,252803688.1492
15.09,252803788.1492
14.81,252803888.1492
15.22,252803988.1492
15.4,252804088.1492
15.99,252804188.1492
15.61,252804288.1492
11.4,252804388.1492
13.97,252804488.1492
15.6,252804588.1492
16.01,252804688.1492
15.91,252804788.1492
15.82,252804888.1492
16.24,252804988.1492
16.87,252805088.1492
15.79,252805188.1492
15.21,252805288.1492
15.75,252805388.1492
15.61,252805488.1492
15.92,252805588.1492
15.47,252805688.1492
16.33,252805788.1492
15.5,252805888.1492
15.93,252805988.1492
16.42,252806088.1492
15.22,252806188.1492
16.03,252806288.1492
15.98,252806388.1492
16.26,252806488.1492
16.12,252806588.1492
15.63,252806688.1492
16.17,252806788.1492
16.52,252806888.1492
15.47,252806988.1492
15.65,252807088.1492
15.58,252807188.1492
15.57,252807288.1492
15.8,252807388.1492
15.07,252807488.1492
14.81,252807588.1492
15,252807688.1492
14.46,252807788.1492
14.54,252807888.1492
14.66,252807988.1492
14.76,252808088.1492
13.49,252808188.1492
14.35,252808288.1492
14.28,252808388.1492
13.94,252808488.1492
14.25,252808588.1492
14,252808688.1492
13.96,252808788.1492
13.67,252808888.1492
13.48,252808988.1492
13.3,252809088.1492
13.13,252809188.1492
13.66,252809288.1492
14.05,252809388.1492
12.83,252809488.1492
13.85,252809588.1492
13.65,252809688.1492
13.58,252809788.1492
14.31,252809888.1492
13.74,252809988.1492
14.33,252810088.1492
14.47,252810188.1492
14.68,252810288.1492
12.94,252810388.1492
13.86,252810488.1492
14.71,252810588.1492
14.59,252810688.1492
15.07,252810788.1492
15.11,252810888.1492
14.02,252810988.1492
14.9,252811088.1492
14.41,252811188.1492
14.8,252811288.1492
14.42,252811388.1492
14.48,252811488.1492
15.16,252811588.1492
15.89,252811688.1492
15.96,252811788.1492
16.26,252811888.1492
17.38,252811988.1492
16.85,252812088.1492
17.95,252812188.1492
18.02,252812288.1492
18.4,252812388.1492
17.51,252812488.1492
17.68,252812588.1492
17.5,252812688.1492
18.02,252812788.1492
17.66,252812888.1492
17.42,252812988.1492
16.99,252813088.1492
17.6,252813188.1492
17.75,252813288.1492
17.97,252813388.1492
17.76,252813488.1492
17.76,252813588.1492
17.64,252813688.1492
17.96,252813788.1492
17.91,252813888.1492
18.98,252813988.1492
18.97,252814088.1492
20.46,252814188.1492
20.16,252814288.1492
20.83,252814388.1492
21.65,252814488.1492
21.68,252814588.1492
21.95,252814688.1492
21.98,252814788.1492
21.8,252814888.1492
21.15,252814988.1492
20.9,252815088.1492
21.26,252815188.1492
20.73,252815288.1492
22.12,252815388.1492
20.66,252815488.1492
20.71,252815588.1492
21.26,252815688.1492
20.73,252815788.1492
19.91,252815888.1492
20.01,252815988.1492
18.58,252816088.1492
18.24,252816188.1492
18.22,252816288.1492
17.14,252816388.1492
17.65,252816488.1492
17.66,252816588.1492
16.04,252816688.1492
16.62,252816788.1492
16.25,252816888.1492
16.16,252816988.1492
16.24,252817088.1492
15.37,252817188.1492
15.4,252817288.1492
16.07,252817388.1492
16.93,252817488.1492
16.13,252817588.1492
16.61,252817688.1492
16.86,252817788.1492
16.48,252817888.1492
16.65,252817988.1492
16.24,252818088.1492
16.2,252818188.1492
16.94,252818288.1492
16.43,252818388.1492
17.75,252818488.1492
17.23,252818588.1492
17.82,252818688.1492
18.48,252818788.1492
17.19,252818888.1492
17.42,252818988.1492
18.11,252819088.1492
19.3,252819188.1492
17.91,252819288.1492
19.37,252819388.1492
19.27,252819488.1492
18.54,252819588.1492
18.16,252819688.1492
18.28,252819788.1492
17.67,252819888.1492
18.56,252819988.1492
18.52,252820088.1492
17.62,252820188.1492
17.45,252820288.1492
18.3,252820388.1492
17.54,252820488.1492
17.61,252820588.1492
18.23,252820688.1492
17.35,252820788.1492
17.67,252820888.1492
18.36,252820988.1492
18.35,252821088.1492
17.75,252821188.1492
18.41,252821288.1492
17.85,252821388.1492
18.48,252821488.1492
18.46,252821588.1492
18.34,252821688.1492
18.02,252821788.1492
17.78,252821888.1492
18.19,252821988.1492
18.36,252822088.1492
18.73,252822188.1492
17.78,252822288.1492
17.54,252822388.1492
8.64,252822488.1492
17.31,252822588.1492
16.11,252822688.1492
16.56,252822788.1492
15.47,252822888.1492
